Mon-Yr,Median Price,Median Time on Market,Unsold Inventory
Jan-90,215338,75.3,13.2
Feb-90,208399,80.5,22.1
Mar-90,208135,70.3,16.8
Apr-90,219004,75.0,17.1
May-90,209065,77.4,17.1
Jun-90,210606,80.8,19.5
Jul-90,225251,76.1,16.8
Aug-90,213478,76.6,18.4
Sep-90,211552,79.6,21.2
Oct-90,207801,84.9,17.0
Nov-90,202717,93.4,22.2
Dec-90,212855,96.7,20.2
Jan-91,197706,91.4,24.1
Feb-91,199157,88.3,27.9
Mar-91,207940,89.3,17.3
Apr-91,213442,85.7,14.9
May-91,218892,82.5,13.8
Jun-91,224055,87.7,15.9
Jul-91,230028,85.8,15.1
Aug-91,220858,86.0,16.5
Sep-91,231449,82.1,20.4
Oct-91,209256,86.2,20.5
Nov-91,202237,89.9,25.5
Dec-91,222829,84.0,19.6
Jan-92,213951,95.0,18.1
Feb-92,207018,87.1,17.5
Mar-92,218844,91.8,17.4
Apr-92,211762,89.3,16.0
May-92,204440,91.4,17.2
Jun-92,211278,85.8,14.6
Jul-92,221820,83.4,19.3
Aug-92,212099,84.9,21.0
Sep-92,212738,86.8,22.6
Oct-92,201149,88.9,19.0
Nov-92,207083,85.7,22.3
Dec-92,214005,92.0,16.9
Jan-93,207810,102.2,19.2
Feb-93,195681,100.7,19.9
Mar-93,198013,91.8,14.1
Apr-93,197547,86.6,14.1
May-93,188159,91.5,13.3
Jun-93,198428,89.3,11.4
Jul-93,209132,92.6,13.7
Aug-93,205319,91.0,11.7
Sep-93,204656,92.9,11.2
Oct-93,196762,92.0,10.5
Nov-93,192945,91.1,10.3
Dec-93,201134,96.8,8.9
Jan-94,194086,99.8,11.5
Feb-94,184741,94.2,12.3
Mar-94,184207,84.9,8.7
Apr-94,185304,79.3,9.6
May-94,175208,71.7,9.4
Jun-94,189800,83.3,8.9
Jul-94,197166,77.8,10.0
Aug-94,193129,70.3,9.5
Sep-94,199793,76.6,10.5
Oct-94,189198,78.6,10.9
Nov-94,188980,79.3,9.7
Dec-94,195359,77.1,8.3
Jan-95,186714,79.2,10.7
Feb-95,169600,78.2,13.6
Mar-95,163147,77.7,10.7
Apr-95,165889,74.9,10.9
May-95,156469,70.9,10.1
Jun-95,172655,68.8,8.5
Jul-95,180077,71.3,9.2
Aug-95,178717,73.5,9.8
Sep-95,186901,72.8,9.7
Oct-95,162525,74.3,9.7
Nov-95,159524,74.5,10.7
Dec-95,178186,76.3,8.7
Jan-96,175746,78.0,10.1
Feb-96,163158,75.9,12.1
Mar-96,161760,68.1,9.3
Apr-96,162025,61.7,8.5
May-96,154313,59.4,8.3
Jun-96,172152,55.8,9.0
Jul-96,174329,54.5,7.9
Aug-96,174590,56.4,9.4
Sep-96,191264,54.7,9.8
Oct-96,167848,54.9,8.3
Nov-96,161823,53.5,8.6
Dec-96,167550,57.5,7.3
Jan-97,170223,59.2,9.4
Feb-97,158193,56.0,9.8
