Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,SF Bay Area,SoCal
Jan-90,10.7,11.7,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,14.9,NA,NA,,8.1,14.0,NA,NA,NA,NA,NA,NA
Feb-90,12.9,13.2,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,14.4,NA,NA,,9.4,18.6,NA,NA,NA,NA,NA,NA
Mar-90,9.8,9.0,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,12.8,NA,NA,,6.5,15.2,NA,NA,NA,NA,NA,NA
Apr-90,10.8,10.3,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,13.2,NA,NA,,7.5,15.8,NA,NA,NA,NA,NA,NA
May-90,10.5,9.9,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,11.2,NA,NA,,7.2,15.1,NA,NA,NA,NA,NA,NA
Jun-90,11.2,10.3,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,13.1,NA,NA,,8.1,16.4,NA,NA,NA,NA,NA,NA
Jul-90,11.6,12.1,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,13.1,NA,NA,,8.0,15.6,NA,NA,NA,NA,NA,NA
Aug-90,10.6,10.7,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,12.0,NA,NA,,8.1,15.6,NA,NA,NA,NA,NA,NA
Sep-90,13.4,13.9,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,14.9,NA,NA,,10.4,19.0,NA,NA,NA,NA,NA,NA
Oct-90,12.5,11.9,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,13.0,NA,NA,,10.2,16.2,NA,NA,NA,NA,NA,NA
